57	203730
58	229895
59	218595
60	218595
61	207473
62	201799
63	208884
64	226349
65	192049
66	179436
67	185406
68	202855
69	217856
70	169071
71	179830
72	156311
73	154987
74	173636
75	160161
76	156785
77	169066
78	150197
79	149507
80	165468
81	173696
82	149070
83	158139
84	135219
85	144648
86	155079
87	124532
88	129651
89	121356
90	117856
91	117761
92	141158
93	134210
94	126241
95	109828
96	114907
97	123255
98	113448
99	129991
100	107987
101	106681
102	112383
103	108899
104	102007
105	97955
106	119232
107	95562
108	97452
109	91548
110	103153
111	98967
112	88974
113	106652
114	77991
115	77658
116	95643
117	85817
118	107750
119	85979
120	76292
121	74458
122	72518
123	88932
124	74412
125	79446
126	75673
127	77585
128	73225
129	67115
130	68349
131	70722
132	73933
133	70920
134	69884
135	66814
136	67909
137	66431
138	63380
139	62723
140	63188
141	63846
142	60069
143	56839
144	60969
145	62768
146	63241
147	61278
148	65431
149	58263
150	56738
151	58478
152	58991
153	61026
154	60020
155	55376
156	51958
157	56684
158	53802
159	59968
160	55989
161	53430
162	54665
163	47205
164	55359
165	50484
166	53342
167	47645
168	53111
169	50617
170	46089
171	50450


General model Exp1:
     f(x) = a*exp(b*x)
Coefficients (with 95% confidence bounds):
       a =   5.069e+05  (4.802e+05, 5.336e+05)
       b =    -0.01477  (-0.01535, -0.01419)

Goodness of fit:
  SSE: 1.045e+10
  R-square: 0.9648
  Adjusted R-square: 0.9645
  RMSE: 9615
